handle,party_id,ideological_lean,party_id_label,ideological_lean_label,total_posts,n_days_observed
tw_user_3954,1.0,0.0,Closer to the Republican party,4 Middle of the road,281,737
tw_user_5399,-2.0,1.0,Not very strong Democrat,5 Somewhat conservative,90,737
tw_user_1575,3.0,3.0,Strong Republican,7 Very conservative,563,737
tw_user_9882,1.0,0.0,Closer to the Republican party,4 Middle of the road,4527,737
tw_user_6339,,0.0,No party,4 Middle of the road,662,737
tw_user_3787,-1.0,0.0,Closer to the Democratic party,4 Middle of the road,11,737
tw_user_5925,3.0,3.0,Strong Republican,7 Very conservative,3484,737
tw_user_7329,0.0,3.0,Independent,7 Very conservative,602,737
tw_user_3702,-3.0,-3.0,Strong Democrat,1 Very liberal,169,737
tw_user_4548,,0.0,No party,4 Middle of the road,272,737
tw_user_2007,-2.0,-2.0,Not very strong Democrat,2 Liberal,43,737
tw_user_7061,-3.0,0.0,Strong Democrat,4 Middle of the road,16414,737
tw_user_9738,0.0,-2.0,Independent,2 Liberal,1431,737
tw_user_3113,1.0,0.0,Closer to the Republican party,4 Middle of the road,1996,737
tw_user_9788,-3.0,0.0,Strong Democrat,4 Middle of the road,46,737
tw_user_2710,2.0,0.0,Not very strong Republican,4 Middle of the road,2309,737
tw_user_2238,0.0,0.0,Independent,4 Middle of the road,142,737
tw_user_1253,3.0,3.0,Strong Republican,7 Very conservative,39,737
tw_user_6180,-3.0,3.0,Strong Democrat,7 Very conservative,270,737
tw_user_9042,-3.0,0.0,Strong Democrat,4 Middle of the road,173,737
tw_user_6992,3.0,3.0,Strong Republican,7 Very conservative,410,737
tw_user_2341,-3.0,-2.0,Strong Democrat,2 Liberal,124,737
tw_user_2838,-3.0,0.0,Strong Democrat,4 Middle of the road,1034,737
tw_user_9001,-1.0,0.0,Closer to the Democratic party,4 Middle of the road,864,737
tw_user_6047,3.0,2.0,Strong Republican,6 Conservative,14,737
tw_user_5842,-1.0,-1.0,Closer to the Democratic party,3 Somewhat liberal,13,737
tw_user_3863,-3.0,3.0,Strong Democrat,7 Very conservative,100,737
tw_user_2662,-3.0,0.0,Strong Democrat,4 Middle of the road,3510,737
tw_user_9178,-1.0,-2.0,Closer to the Democratic party,2 Liberal,1143,737
tw_user_9541,2.0,1.0,Not very strong Republican,5 Somewhat conservative,65,737
tw_user_1302,0.0,0.0,Independent,4 Middle of the road,947,737
tw_user_6213,-3.0,-2.0,Strong Democrat,2 Liberal,4652,737
tw_user_5239,-3.0,0.0,Strong Democrat,4 Middle of the road,35,737
tw_user_8107,-1.0,-3.0,Closer to the Democratic party,1 Very liberal,5199,737
tw_user_1127,2.0,2.0,Not very strong Republican,6 Conservative,7,737
tw_user_5033,2.0,2.0,Not very strong Republican,6 Conservative,325,737
tw_user_5548,-1.0,-1.0,Closer to the Democratic party,3 Somewhat liberal,3477,737
tw_user_8690,0.0,0.0,Independent,4 Middle of the road,53,737
tw_user_8764,-2.0,2.0,Not very strong Democrat,6 Conservative,49,737
tw_user_9994,2.0,2.0,Not very strong Republican,6 Conservative,749,737
tw_user_7938,-3.0,-3.0,Strong Democrat,1 Very liberal,225,737
tw_user_2137,0.0,0.0,Independent,4 Middle of the road,3338,737
tw_user_1221,3.0,0.0,Strong Republican,4 Middle of the road,283,737
tw_user_4374,2.0,0.0,Not very strong Republican,4 Middle of the road,59,737
tw_user_5746,0.0,0.0,Independent,4 Middle of the road,8282,737
tw_user_3842,-3.0,-2.0,Strong Democrat,2 Liberal,55,737
tw_user_3829,3.0,3.0,Strong Republican,7 Very conservative,150,737
tw_user_4377,-2.0,0.0,Not very strong Democrat,4 Middle of the road,4729,737
tw_user_3942,-1.0,0.0,Closer to the Democratic party,4 Middle of the road,282,737
tw_user_2372,-2.0,0.0,Not very strong Democrat,4 Middle of the road,325,737
tw_user_3012,0.0,0.0,Independent,4 Middle of the road,1101,737
tw_user_5046,3.0,2.0,Strong Republican,6 Conservative,29,737
tw_user_2211,-1.0,1.0,Closer to the Democratic party,5 Somewhat conservative,2737,737
tw_user_7097,2.0,2.0,Not very strong Republican,6 Conservative,112,737
tw_user_4837,-3.0,3.0,Strong Democrat,7 Very conservative,350,737
tw_user_5400,-3.0,-3.0,Strong Democrat,1 Very liberal,141404,737
tw_user_4699,-3.0,-3.0,Strong Democrat,1 Very liberal,513,737
tw_user_7156,0.0,0.0,Independent,4 Middle of the road,4466,737
tw_user_8158,-2.0,-2.0,Not very strong Democrat,2 Liberal,1534,737
tw_user_7772,3.0,2.0,Strong Republican,6 Conservative,20,737
tw_user_4589,-3.0,1.0,Strong Democrat,5 Somewhat conservative,148,737
tw_user_8962,0.0,0.0,Independent,4 Middle of the road,229,737
tw_user_8430,-3.0,-2.0,Strong Democrat,2 Liberal,135,737
tw_user_6286,3.0,3.0,Strong Republican,7 Very conservative,55,737
tw_user_1899,-2.0,-1.0,Not very strong Democrat,3 Somewhat liberal,63,737
tw_user_2340,-3.0,-3.0,Strong Democrat,1 Very liberal,194,737
tw_user_8027,-3.0,-2.0,Strong Democrat,2 Liberal,356,737
tw_user_2557,-3.0,-3.0,Strong Democrat,1 Very liberal,4824,737
tw_user_2738,-3.0,-2.0,Strong Democrat,2 Liberal,80,737
tw_user_1053,0.0,-2.0,Independent,2 Liberal,4873,737
tw_user_9730,-3.0,0.0,Strong Democrat,4 Middle of the road,123,737
tw_user_8427,,0.0,Not sure,4 Middle of the road,158,737
tw_user_9961,0.0,1.0,Independent,5 Somewhat conservative,381,737
tw_user_3276,3.0,0.0,Strong Republican,4 Middle of the road,357,737
tw_user_5485,1.0,1.0,Closer to the Republican party,5 Somewhat conservative,440,737
tw_user_3483,2.0,-2.0,Not very strong Republican,2 Liberal,149,737
tw_user_9212,-3.0,-3.0,Strong Democrat,1 Very liberal,5720,737
tw_user_5007,3.0,3.0,Strong Republican,7 Very conservative,121,737
tw_user_1497,-3.0,-1.0,Strong Democrat,3 Somewhat liberal,714,737
tw_user_3716,0.0,-3.0,Independent,1 Very liberal,8583,737
tw_user_3621,1.0,1.0,Closer to the Republican party,5 Somewhat conservative,752,737
tw_user_2906,-3.0,-2.0,Strong Democrat,2 Liberal,586,737
tw_user_4665,,-3.0,Other party,1 Very liberal,737,737
tw_user_3917,-1.0,0.0,Closer to the Democratic party,4 Middle of the road,5376,737
tw_user_4319,-3.0,-2.0,Strong Democrat,2 Liberal,856,737
tw_user_8600,-2.0,0.0,Not very strong Democrat,4 Middle of the road,3812,737
tw_user_8337,3.0,-2.0,Strong Republican,2 Liberal,1683,737
tw_user_9326,-1.0,-3.0,Closer to the Democratic party,1 Very liberal,3112,737
tw_user_5306,1.0,0.0,Closer to the Republican party,4 Middle of the road,187,737
tw_user_7369,-3.0,-3.0,Strong Democrat,1 Very liberal,5800,737
tw_user_6421,-2.0,-2.0,Not very strong Democrat,2 Liberal,4857,737
tw_user_3407,3.0,3.0,Strong Republican,7 Very conservative,3376,737
tw_user_9070,,-1.0,No party,3 Somewhat liberal,96,737
tw_user_4620,3.0,0.0,Strong Republican,4 Middle of the road,62,737
tw_user_4487,-3.0,-2.0,Strong Democrat,2 Liberal,2759,737
tw_user_1916,0.0,0.0,Independent,4 Middle of the road,11,737
tw_user_4867,-2.0,-1.0,Not very strong Democrat,3 Somewhat liberal,411,737
tw_user_9376,3.0,-3.0,Strong Republican,1 Very liberal,1598,737
tw_user_9174,2.0,2.0,Not very strong Republican,6 Conservative,1869,737
tw_user_1806,3.0,3.0,Strong Republican,7 Very conservative,27006,737
tw_user_7478,0.0,0.0,Independent,4 Middle of the road,4683,737
tw_user_6682,-3.0,-2.0,Strong Democrat,2 Liberal,887,737
tw_user_1028,0.0,0.0,Independent,4 Middle of the road,1736,737
tw_user_5521,2.0,2.0,Not very strong Republican,6 Conservative,1117,737
tw_user_7815,0.0,0.0,Independent,4 Middle of the road,12143,737
tw_user_7645,-3.0,-3.0,Strong Democrat,1 Very liberal,3600,737
tw_user_2358,0.0,0.0,Independent,4 Middle of the road,2292,737
tw_user_3062,-2.0,0.0,Not very strong Democrat,4 Middle of the road,5289,737
tw_user_9847,-3.0,-3.0,Strong Democrat,1 Very liberal,3346,737
tw_user_6228,-3.0,-2.0,Strong Democrat,2 Liberal,338,737
tw_user_3759,0.0,0.0,Independent,4 Middle of the road,5,737
tw_user_4273,-3.0,-3.0,Strong Democrat,1 Very liberal,3279,737
tw_user_4469,3.0,3.0,Strong Republican,7 Very conservative,1601,737
tw_user_7529,-3.0,-2.0,Strong Democrat,2 Liberal,604,737
tw_user_1865,-3.0,-2.0,Strong Democrat,2 Liberal,1148,737
tw_user_7387,3.0,0.0,Strong Republican,4 Middle of the road,32,737
tw_user_8209,-3.0,0.0,Strong Democrat,4 Middle of the road,29,737
tw_user_7278,-3.0,-3.0,Strong Democrat,1 Very liberal,11,737
tw_user_8822,0.0,2.0,Independent,6 Conservative,589,737
tw_user_4946,3.0,0.0,Strong Republican,4 Middle of the road,769,737
tw_user_2575,0.0,0.0,Independent,4 Middle of the road,571,737
tw_user_5683,-3.0,-3.0,Strong Democrat,1 Very liberal,1243,737
tw_user_6646,-3.0,-3.0,Strong Democrat,1 Very liberal,3011,737
tw_user_3448,2.0,1.0,Not very strong Republican,5 Somewhat conservative,115,737
tw_user_5080,0.0,3.0,Independent,7 Very conservative,145,737
tw_user_3136,-3.0,-1.0,Strong Democrat,3 Somewhat liberal,48,737
tw_user_5562,-3.0,-1.0,Strong Democrat,3 Somewhat liberal,180,737
tw_user_5959,0.0,-3.0,Independent,1 Very liberal,38,737
tw_user_9394,0.0,-1.0,Independent,3 Somewhat liberal,106,737
tw_user_9568,-1.0,2.0,Closer to the Democratic party,6 Conservative,99,737
tw_user_7892,-2.0,-1.0,Not very strong Democrat,3 Somewhat liberal,7856,737
tw_user_2101,-3.0,-2.0,Strong Democrat,2 Liberal,213,737
tw_user_8854,,-3.0,No party,1 Very liberal,577,737
tw_user_8753,,3.0,Other party,7 Very conservative,1855,737
tw_user_8202,0.0,0.0,Independent,4 Middle of the road,918,737
tw_user_6851,-1.0,-1.0,Closer to the Democratic party,3 Somewhat liberal,1919,737
tw_user_1658,-1.0,-1.0,Closer to the Democratic party,3 Somewhat liberal,2383,737
tw_user_2426,3.0,1.0,Strong Republican,5 Somewhat conservative,1322,737
tw_user_4725,0.0,-3.0,Independent,1 Very liberal,1543,737
tw_user_5237,1.0,1.0,Closer to the Republican party,5 Somewhat conservative,16,737
tw_user_2259,3.0,-1.0,Strong Republican,3 Somewhat liberal,77,737
tw_user_9489,0.0,0.0,Independent,4 Middle of the road,242,737
tw_user_1671,-3.0,-3.0,Strong Democrat,1 Very liberal,567,737
tw_user_3907,2.0,2.0,Not very strong Republican,6 Conservative,1903,737
tw_user_8912,-3.0,-3.0,Strong Democrat,1 Very liberal,2211,737
tw_user_5845,0.0,-3.0,Independent,1 Very liberal,697,737
tw_user_7179,-3.0,-3.0,Strong Democrat,1 Very liberal,31394,737
tw_user_9819,,0.0,No party,4 Middle of the road,323,737
tw_user_5822,3.0,3.0,Strong Republican,7 Very conservative,37,737
tw_user_8636,-1.0,-2.0,Closer to the Democratic party,2 Liberal,4462,737
tw_user_7920,1.0,1.0,Closer to the Republican party,5 Somewhat conservative,127,737
tw_user_7480,-2.0,-2.0,Not very strong Democrat,2 Liberal,161,737
tw_user_9390,-3.0,-2.0,Strong Democrat,2 Liberal,865,737
tw_user_4164,0.0,2.0,Independent,6 Conservative,381,737
tw_user_7368,-3.0,-3.0,Strong Democrat,1 Very liberal,3360,737
tw_user_2802,-1.0,0.0,Closer to the Democratic party,4 Middle of the road,47,737
tw_user_3471,1.0,0.0,Closer to the Republican party,4 Middle of the road,121,737
tw_user_8984,-3.0,-1.0,Strong Democrat,3 Somewhat liberal,1614,737
tw_user_4465,-3.0,0.0,Strong Democrat,4 Middle of the road,22,737
tw_user_6640,-3.0,0.0,Strong Democrat,4 Middle of the road,8,737
tw_user_9629,,-3.0,Other party,1 Very liberal,4561,737
tw_user_2666,-2.0,-1.0,Not very strong Democrat,3 Somewhat liberal,262,737
tw_user_7675,-1.0,-3.0,Closer to the Democratic party,1 Very liberal,4964,737
tw_user_8480,-3.0,-3.0,Strong Democrat,1 Very liberal,3086,737
tw_user_3620,-1.0,-1.0,Closer to the Democratic party,3 Somewhat liberal,1445,737
tw_user_7255,,0.0,Other party,4 Middle of the road,40,737
tw_user_7628,1.0,2.0,Closer to the Republican party,6 Conservative,353,737
tw_user_8694,-2.0,-2.0,Not very strong Democrat,2 Liberal,28239,737
tw_user_4309,-3.0,-1.0,Strong Democrat,3 Somewhat liberal,2692,737
tw_user_2042,-3.0,0.0,Strong Democrat,4 Middle of the road,204,737
tw_user_4973,0.0,-3.0,Independent,1 Very liberal,6619,737
tw_user_9189,-3.0,-3.0,Strong Democrat,1 Very liberal,1215,737
tw_user_9270,2.0,1.0,Not very strong Republican,5 Somewhat conservative,491,737
tw_user_7821,-3.0,1.0,Strong Democrat,5 Somewhat conservative,734,737
tw_user_3142,-3.0,-3.0,Strong Democrat,1 Very liberal,6330,737
tw_user_3005,1.0,-1.0,Closer to the Republican party,3 Somewhat liberal,36,737
tw_user_8191,,-1.0,No party,3 Somewhat liberal,115,737
tw_user_1825,-3.0,2.0,Strong Democrat,6 Conservative,2328,737
tw_user_2904,-1.0,0.0,Closer to the Democratic party,4 Middle of the road,1280,737
tw_user_2858,-3.0,-3.0,Strong Democrat,1 Very liberal,1463,737
tw_user_2542,-1.0,1.0,Closer to the Democratic party,5 Somewhat conservative,90,737
tw_user_7626,-3.0,-3.0,Strong Democrat,1 Very liberal,922,737
tw_user_9752,-3.0,-3.0,Strong Democrat,1 Very liberal,20003,737
tw_user_7878,,3.0,No party,7 Very conservative,382,737
tw_user_6094,-3.0,-2.0,Strong Democrat,2 Liberal,408,737
tw_user_5232,0.0,-2.0,Independent,2 Liberal,102,737
tw_user_7393,3.0,3.0,Strong Republican,7 Very conservative,696,737
tw_user_3035,0.0,2.0,Independent,6 Conservative,3472,737
tw_user_2304,-2.0,-3.0,Not very strong Democrat,1 Very liberal,368,737
tw_user_4753,3.0,0.0,Strong Republican,4 Middle of the road,350,737
tw_user_6441,3.0,2.0,Strong Republican,6 Conservative,25,737
tw_user_5257,2.0,0.0,Not very strong Republican,4 Middle of the road,174,737
tw_user_8452,-3.0,0.0,Strong Democrat,4 Middle of the road,243,737
tw_user_2043,-3.0,-3.0,Strong Democrat,1 Very liberal,833,737
tw_user_3074,0.0,0.0,Independent,4 Middle of the road,222,737
tw_user_2593,-3.0,-2.0,Strong Democrat,2 Liberal,36,737
tw_user_1926,-3.0,-2.0,Strong Democrat,2 Liberal,73,737
tw_user_4754,-3.0,-1.0,Strong Democrat,3 Somewhat liberal,27,737
tw_user_6329,-1.0,-1.0,Closer to the Democratic party,3 Somewhat liberal,5749,737
tw_user_1654,-3.0,0.0,Strong Democrat,4 Middle of the road,4383,737
tw_user_3869,-2.0,-1.0,Not very strong Democrat,3 Somewhat liberal,3549,737
tw_user_8466,3.0,1.0,Strong Republican,5 Somewhat conservative,771,737
tw_user_6275,3.0,2.0,Strong Republican,6 Conservative,831,737
tw_user_9066,0.0,0.0,Independent,4 Middle of the road,736,737
tw_user_2796,-3.0,-2.0,Strong Democrat,2 Liberal,1640,737
tw_user_6758,3.0,3.0,Strong Republican,7 Very conservative,28,737
tw_user_5377,-1.0,-3.0,Closer to the Democratic party,1 Very liberal,573,737
tw_user_9461,-3.0,-3.0,Strong Democrat,1 Very liberal,78,737
tw_user_5150,-1.0,-1.0,Closer to the Democratic party,3 Somewhat liberal,33,737
tw_user_6420,-3.0,0.0,Strong Democrat,4 Middle of the road,92,737
tw_user_6930,-2.0,-1.0,Not very strong Democrat,3 Somewhat liberal,2548,737
tw_user_7983,-1.0,-3.0,Closer to the Democratic party,1 Very liberal,965,737
tw_user_9500,0.0,1.0,Independent,5 Somewhat conservative,1610,737
tw_user_1831,-2.0,0.0,Not very strong Democrat,4 Middle of the road,215,737
tw_user_2831,,0.0,Not sure,4 Middle of the road,191,737
tw_user_3694,-3.0,-1.0,Strong Democrat,3 Somewhat liberal,853,737
tw_user_9417,3.0,3.0,Strong Republican,7 Very conservative,32038,737
tw_user_3999,-3.0,-2.0,Strong Democrat,2 Liberal,4401,737
tw_user_3860,-3.0,-1.0,Strong Democrat,3 Somewhat liberal,4835,737
tw_user_6904,0.0,0.0,Independent,4 Middle of the road,154,737
tw_user_7084,-3.0,-3.0,Strong Democrat,1 Very liberal,240,737
tw_user_1564,3.0,3.0,Strong Republican,7 Very conservative,31390,737
tw_user_5747,-2.0,0.0,Not very strong Democrat,4 Middle of the road,31,737
tw_user_9139,3.0,3.0,Strong Republican,7 Very conservative,67,737
tw_user_4226,1.0,3.0,Closer to the Republican party,7 Very conservative,108,737
tw_user_5357,1.0,0.0,Closer to the Republican party,4 Middle of the road,1339,737
tw_user_8174,1.0,1.0,Closer to the Republican party,5 Somewhat conservative,452,737
tw_user_2994,3.0,3.0,Strong Republican,7 Very conservative,1140,737
tw_user_2879,-1.0,0.0,Closer to the Democratic party,4 Middle of the road,226,737
tw_user_7837,3.0,2.0,Strong Republican,6 Conservative,378,737
tw_user_4732,2.0,0.0,Not very strong Republican,4 Middle of the road,10929,737
tw_user_7498,3.0,2.0,Strong Republican,6 Conservative,10944,737
tw_user_6957,-1.0,-2.0,Closer to the Democratic party,2 Liberal,1583,737
tw_user_7264,-3.0,-3.0,Strong Democrat,1 Very liberal,61,737
tw_user_7712,-3.0,-2.0,Strong Democrat,2 Liberal,417,737
tw_user_8686,-3.0,-3.0,Strong Democrat,1 Very liberal,308,737
tw_user_8649,-3.0,-3.0,Strong Democrat,1 Very liberal,13646,737
tw_user_1218,-3.0,-3.0,Strong Democrat,1 Very liberal,24505,737
tw_user_4958,0.0,3.0,Independent,7 Very conservative,2020,737
tw_user_8000,0.0,-2.0,Independent,2 Liberal,739,737
tw_user_7778,-3.0,-2.0,Strong Democrat,2 Liberal,487,737
tw_user_9194,-2.0,-2.0,Not very strong Democrat,2 Liberal,1028,737
tw_user_6478,-3.0,-2.0,Strong Democrat,2 Liberal,129,737
tw_user_2325,0.0,0.0,Independent,4 Middle of the road,246,737
tw_user_2334,-2.0,-1.0,Not very strong Democrat,3 Somewhat liberal,23,737
tw_user_7891,-3.0,-3.0,Strong Democrat,1 Very liberal,381,737
tw_user_6823,0.0,0.0,Independent,4 Middle of the road,790,737
tw_user_9668,2.0,0.0,Not very strong Republican,4 Middle of the road,8134,737
tw_user_9958,0.0,0.0,Independent,4 Middle of the road,5572,737
tw_user_4605,-2.0,2.0,Not very strong Democrat,6 Conservative,253,737
tw_user_5435,-3.0,-3.0,Strong Democrat,1 Very liberal,128,737
tw_user_8817,0.0,0.0,Independent,4 Middle of the road,2930,737
tw_user_9288,0.0,-1.0,Independent,3 Somewhat liberal,3898,737
tw_user_3781,0.0,0.0,Independent,4 Middle of the road,8978,737
tw_user_9739,2.0,-1.0,Not very strong Republican,3 Somewhat liberal,79,737
tw_user_6778,3.0,3.0,Strong Republican,7 Very conservative,42,737
tw_user_2404,-3.0,-3.0,Strong Democrat,1 Very liberal,10772,737
tw_user_2284,0.0,0.0,Independent,4 Middle of the road,7761,737
tw_user_4332,0.0,0.0,Independent,4 Middle of the road,239,737
tw_user_5943,-3.0,-2.0,Strong Democrat,2 Liberal,15374,737
tw_user_7397,-3.0,-2.0,Strong Democrat,2 Liberal,306,737
tw_user_7698,-2.0,-1.0,Not very strong Democrat,3 Somewhat liberal,608,737
tw_user_6322,0.0,-2.0,Independent,2 Liberal,20,737
tw_user_1498,-2.0,0.0,Not very strong Democrat,4 Middle of the road,440,737
tw_user_6369,3.0,2.0,Strong Republican,6 Conservative,919,737
tw_user_8274,0.0,-2.0,Independent,2 Liberal,887,737
tw_user_3372,-3.0,-3.0,Strong Democrat,1 Very liberal,20020,737
tw_user_1876,2.0,2.0,Not very strong Republican,6 Conservative,174,737
tw_user_2276,-3.0,-3.0,Strong Democrat,1 Very liberal,126,737
tw_user_8522,-3.0,-3.0,Strong Democrat,1 Very liberal,51,737
tw_user_6096,-3.0,-2.0,Strong Democrat,2 Liberal,1772,737
tw_user_8905,-3.0,-2.0,Strong Democrat,2 Liberal,426,737
tw_user_7377,-1.0,-3.0,Closer to the Democratic party,1 Very liberal,3861,737
tw_user_6902,-2.0,-2.0,Not very strong Democrat,2 Liberal,119,737
tw_user_8179,-1.0,-1.0,Closer to the Democratic party,3 Somewhat liberal,42,737
tw_user_5385,0.0,0.0,Independent,4 Middle of the road,276,737
tw_user_2250,2.0,-3.0,Not very strong Republican,1 Very liberal,654,737
tw_user_6821,-2.0,-2.0,Not very strong Democrat,2 Liberal,782,737
tw_user_8292,-3.0,-3.0,Strong Democrat,1 Very liberal,436,737
tw_user_5789,,-3.0,Other party,1 Very liberal,763,737
tw_user_5707,0.0,0.0,Independent,4 Middle of the road,41,737
tw_user_1950,-3.0,-3.0,Strong Democrat,1 Very liberal,259,737
tw_user_5903,-1.0,-1.0,Closer to the Democratic party,3 Somewhat liberal,1698,737
tw_user_1435,-3.0,-3.0,Strong Democrat,1 Very liberal,13892,737
tw_user_9765,2.0,1.0,Not very strong Republican,5 Somewhat conservative,199,737
tw_user_2039,3.0,3.0,Strong Republican,7 Very conservative,12,737
tw_user_8184,-2.0,0.0,Not very strong Democrat,4 Middle of the road,2963,737
tw_user_1766,0.0,-2.0,Independent,2 Liberal,231,737
tw_user_2654,0.0,0.0,Independent,4 Middle of the road,17,737
tw_user_4429,3.0,3.0,Strong Republican,7 Very conservative,9535,737
tw_user_4990,,0.0,No party,4 Middle of the road,112,737
tw_user_2659,3.0,2.0,Strong Republican,6 Conservative,33,737
tw_user_5932,-3.0,-3.0,Strong Democrat,1 Very liberal,205,737
tw_user_8680,-1.0,0.0,Closer to the Democratic party,4 Middle of the road,72,737
tw_user_5753,-3.0,-3.0,Strong Democrat,1 Very liberal,89785,737
tw_user_1095,-1.0,-3.0,Closer to the Democratic party,1 Very liberal,9378,737
tw_user_7601,-1.0,-2.0,Closer to the Democratic party,2 Liberal,1182,737
tw_user_1998,-2.0,-1.0,Not very strong Democrat,3 Somewhat liberal,107,737
tw_user_8824,3.0,2.0,Strong Republican,6 Conservative,22,737
tw_user_7514,3.0,3.0,Strong Republican,7 Very conservative,300,737
tw_user_1184,0.0,0.0,Independent,4 Middle of the road,3298,737
tw_user_1609,1.0,1.0,Closer to the Republican party,5 Somewhat conservative,24,737
tw_user_4626,3.0,2.0,Strong Republican,6 Conservative,22,737
tw_user_3836,0.0,-2.0,Independent,2 Liberal,321,737
tw_user_7640,2.0,0.0,Not very strong Republican,4 Middle of the road,2456,737
tw_user_2539,3.0,2.0,Strong Republican,6 Conservative,47,737
tw_user_4757,-3.0,-3.0,Strong Democrat,1 Very liberal,2482,737
tw_user_7076,-3.0,-2.0,Strong Democrat,2 Liberal,21,737
tw_user_1350,0.0,0.0,Independent,4 Middle of the road,445,737
tw_user_4174,,-3.0,Other party,1 Very liberal,373,737
tw_user_4590,2.0,2.0,Not very strong Republican,6 Conservative,258,737
tw_user_4344,0.0,1.0,Independent,5 Somewhat conservative,668,737
tw_user_9037,-3.0,-3.0,Strong Democrat,1 Very liberal,199,737
tw_user_6727,-3.0,-1.0,Strong Democrat,3 Somewhat liberal,79,737
tw_user_6443,-1.0,-3.0,Closer to the Democratic party,1 Very liberal,16654,737
tw_user_7602,-2.0,-1.0,Not very strong Democrat,3 Somewhat liberal,2798,737
tw_user_8510,-3.0,-3.0,Strong Democrat,1 Very liberal,1611,737
tw_user_1761,-1.0,0.0,Closer to the Democratic party,4 Middle of the road,164,737
tw_user_2243,3.0,3.0,Strong Republican,7 Very conservative,575,737
tw_user_1582,0.0,-1.0,Independent,3 Somewhat liberal,1091,737
tw_user_3156,-2.0,-2.0,Not very strong Democrat,2 Liberal,130,737
tw_user_9798,3.0,2.0,Strong Republican,6 Conservative,217,737
tw_user_7125,-3.0,-2.0,Strong Democrat,2 Liberal,73,737
tw_user_3069,0.0,2.0,Independent,6 Conservative,74,737
tw_user_8923,-3.0,-2.0,Strong Democrat,2 Liberal,460,737
tw_user_6752,-3.0,-2.0,Strong Democrat,2 Liberal,55,737
tw_user_7229,-1.0,-3.0,Closer to the Democratic party,1 Very liberal,592,737
tw_user_2875,-1.0,-3.0,Closer to the Democratic party,1 Very liberal,413,737
tw_user_4907,-3.0,-3.0,Strong Democrat,1 Very liberal,1049,737
tw_user_8116,-2.0,0.0,Not very strong Democrat,4 Middle of the road,2022,737
tw_user_5537,2.0,1.0,Not very strong Republican,5 Somewhat conservative,1391,737
tw_user_9347,-3.0,0.0,Strong Democrat,4 Middle of the road,2543,737
tw_user_9105,2.0,2.0,Not very strong Republican,6 Conservative,270,737
tw_user_8227,0.0,0.0,Independent,4 Middle of the road,207,737
tw_user_8456,-2.0,0.0,Not very strong Democrat,4 Middle of the road,120,737
