handle,party_id,ideological_lean,party_id_label,ideological_lean_label,total_posts,n_days_observed
tw_user_8634,,0.0,No party,4 Middle of the road,2154,737
tw_user_3054,-3.0,-1.0,Strong Democrat,3 Somewhat liberal,115,737
tw_user_2315,-3.0,-3.0,Strong Democrat,1 Very liberal,11212,737
tw_user_5993,0.0,-2.0,Independent,2 Liberal,4825,737
tw_user_9972,3.0,0.0,Strong Republican,4 Middle of the road,313,737
tw_user_2040,-2.0,-1.0,Not very strong Democrat,3 Somewhat liberal,4497,737
tw_user_7667,0.0,2.0,Independent,6 Conservative,1696,737
tw_user_6976,-3.0,-3.0,Strong Democrat,1 Very liberal,1067,737
tw_user_9377,-2.0,0.0,Not very strong Democrat,4 Middle of the road,3132,737
tw_user_6090,-1.0,-3.0,Closer to the Democratic party,1 Very liberal,1285,737
tw_user_3619,-3.0,-3.0,Strong Democrat,1 Very liberal,324,737
tw_user_8139,3.0,3.0,Strong Republican,7 Very conservative,246,737
tw_user_7345,1.0,1.0,Closer to the Republican party,5 Somewhat conservative,2164,737
tw_user_5985,,-2.0,No party,2 Liberal,36,737
tw_user_3315,,-3.0,No party,1 Very liberal,1357,737
tw_user_5927,-3.0,-2.0,Strong Democrat,2 Liberal,5489,737
tw_user_5279,3.0,0.0,Strong Republican,4 Middle of the road,2134,737
tw_user_1037,0.0,3.0,Independent,7 Very conservative,79,737
tw_user_1208,-2.0,-1.0,Not very strong Democrat,3 Somewhat liberal,153,737
tw_user_9976,-2.0,0.0,Not very strong Democrat,4 Middle of the road,1381,737
tw_user_4878,0.0,1.0,Independent,5 Somewhat conservative,533,737
tw_user_2268,2.0,0.0,Not very strong Republican,4 Middle of the road,24,737
tw_user_3559,3.0,2.0,Strong Republican,6 Conservative,43,737
tw_user_7651,-3.0,-2.0,Strong Democrat,2 Liberal,363,737
tw_user_3851,-1.0,0.0,Closer to the Democratic party,4 Middle of the road,5437,737
tw_user_4569,-1.0,0.0,Closer to the Democratic party,4 Middle of the road,77,737
tw_user_3096,-3.0,-2.0,Strong Democrat,2 Liberal,341,737
tw_user_1684,-3.0,-3.0,Strong Democrat,1 Very liberal,5738,737
tw_user_1246,-3.0,-3.0,Strong Democrat,1 Very liberal,1202,737
tw_user_6401,-3.0,3.0,Strong Democrat,7 Very conservative,1304,737
tw_user_6837,-3.0,-3.0,Strong Democrat,1 Very liberal,999,737
tw_user_8113,-3.0,0.0,Strong Democrat,4 Middle of the road,3234,737
tw_user_3247,0.0,0.0,Independent,4 Middle of the road,35,737
tw_user_6576,-3.0,-1.0,Strong Democrat,3 Somewhat liberal,124,737
tw_user_4919,1.0,-1.0,Closer to the Republican party,3 Somewhat liberal,102,737
tw_user_7379,-3.0,-3.0,Strong Democrat,1 Very liberal,374,737
tw_user_8922,-1.0,0.0,Closer to the Democratic party,4 Middle of the road,39,737
tw_user_5550,-3.0,-1.0,Strong Democrat,3 Somewhat liberal,16,737
tw_user_2815,2.0,2.0,Not very strong Republican,6 Conservative,39,737
tw_user_9529,-2.0,-1.0,Not very strong Democrat,3 Somewhat liberal,854,737
tw_user_6015,0.0,-2.0,Independent,2 Liberal,310,737
tw_user_2080,-3.0,-2.0,Strong Democrat,2 Liberal,253,737
tw_user_3345,0.0,0.0,Independent,4 Middle of the road,2276,737
tw_user_4303,-3.0,-2.0,Strong Democrat,2 Liberal,16161,737
tw_user_9878,-1.0,-3.0,Closer to the Democratic party,1 Very liberal,2450,737
tw_user_2331,-3.0,-3.0,Strong Democrat,1 Very liberal,3477,737
tw_user_4255,-3.0,-2.0,Strong Democrat,2 Liberal,76,737
tw_user_6979,2.0,0.0,Not very strong Republican,4 Middle of the road,89,737
tw_user_7966,-3.0,-3.0,Strong Democrat,1 Very liberal,3798,737
tw_user_1161,,0.0,No party,4 Middle of the road,630,737
tw_user_2368,-2.0,0.0,Not very strong Democrat,4 Middle of the road,1020,737
tw_user_7165,2.0,3.0,Not very strong Republican,7 Very conservative,134,737
tw_user_5153,1.0,2.0,Closer to the Republican party,6 Conservative,3244,737
tw_user_4040,0.0,0.0,Independent,4 Middle of the road,110,737
tw_user_2496,-3.0,-3.0,Strong Democrat,1 Very liberal,24,737
tw_user_4880,1.0,0.0,Closer to the Republican party,4 Middle of the road,6527,737
tw_user_4515,2.0,-1.0,Not very strong Republican,3 Somewhat liberal,33,737
tw_user_7982,0.0,0.0,Independent,4 Middle of the road,959,737
tw_user_1855,1.0,2.0,Closer to the Republican party,6 Conservative,382,737
